iter	Logloss
0	0.6860440899
1	0.6773944083
2	0.6700843754
3	0.6628427243
4	0.656163882
5	0.6493242726
6	0.6428027375
7	0.6359413456
8	0.6289500371
9	0.6229823831
10	0.6163567624
11	0.6096937267
12	0.6034608562
13	0.598014274
14	0.5919686087
15	0.5860529531
16	0.5806341219
17	0.5754956063
18	0.5711307016
19	0.5657532191
20	0.5605611835
21	0.555903677
22	0.5518574335
23	0.5474080204
24	0.5426270366
25	0.5380115581
26	0.5344443335
27	0.5306516535
28	0.5258531929
29	0.5219096483
30	0.5182566451
31	0.5146067311
32	0.5109947107
33	0.5071510094
34	0.5039975585
35	0.5003062896
36	0.4977750139
37	0.4941200684
38	0.4916216752
39	0.4881684192
40	0.4850702401
41	0.4822678632
42	0.4793310109
43	0.4765019858
44	0.4744285032
45	0.4718120955
46	0.4689769516
47	0.4671003871
48	0.464317965
49	0.4620337334
50	0.4596029346
51	0.4573329689
52	0.4548679063
53	0.4527157302
54	0.4501473536
55	0.4481479787
56	0.4462193624
57	0.4441117363
58	0.4420671399
59	0.4400143761
60	0.4378252835
61	0.4357585551
62	0.4343712425
63	0.4324488877
64	0.4301152105
65	0.4281929606
66	0.4263747594
67	0.4244028982
68	0.4226464582
69	0.420843637
70	0.4191970697
71	0.4176008772
72	0.4166616303
73	0.4150601464
74	0.4135667016
75	0.4120228273
76	0.4103594895
77	0.4087768074
78	0.4073198783
79	0.4059652493
80	0.4044880924
81	0.4029440977
82	0.4014462056
83	0.3999751305
84	0.3986746943
85	0.3977145072
86	0.396379093
87	0.3954812439
88	0.3940468874
89	0.3932535922
90	0.3919799318
91	0.3906456615
92	0.3894161567
93	0.3881366701
94	0.387175441
95	0.3860429449
96	0.3848749441
97	0.3838907984
98	0.3832314316
99	0.3823199209
100	0.3810396533
101	0.3800827109
102	0.3791707268
103	0.3779288262
104	0.3771033745
105	0.3766082771
106	0.3761671904
107	0.3752469933
108	0.3740234835
109	0.3729292696
110	0.3719597541
111	0.3709678742
112	0.3703108027
113	0.3691553281
114	0.3685182819
115	0.3676064797
116	0.3666508856
117	0.3656226658
118	0.3652704238
119	0.3647749355
120	0.3640938708
121	0.3634741679
122	0.362521208
123	0.3614847142
124	0.3609701407
125	0.36020145
126	0.3594662529
127	0.3588421544
128	0.3582748554
129	0.3575373153
130	0.3566996242
131	0.355966715
132	0.3552955152
133	0.354683349
134	0.3540278295
135	0.3535490769
136	0.3527816517
137	0.3519938255
138	0.3512894014
139	0.3505260673
140	0.349946506
141	0.3492386629
142	0.3484197271
143	0.3479727244
144	0.3472037773
145	0.3467956447
146	0.3462560609
147	0.3455921365
148	0.3448517713
149	0.344458822
150	0.3438972076
151	0.3433214367
152	0.3430686353
153	0.342556592
154	0.3420679083
155	0.3415553095
156	0.3410300154
157	0.3404477527
158	0.3398996959
159	0.3394090448
160	0.3387747657
161	0.3384080404
162	0.3377671076
163	0.3372093831
164	0.3367574606
165	0.3361444611
166	0.3355948429
167	0.3351124909
168	0.3345057687
169	0.3340360258
170	0.3335644073
171	0.333134774
172	0.3327626297
173	0.3322498591
174	0.3318882712
175	0.3315199869
176	0.3309875555
177	0.330437563
178	0.3300218857
179	0.3295953251
180	0.3294204895
181	0.3290423635
182	0.3285363082
183	0.3279574717
184	0.3273968056
185	0.3271449044
186	0.3267649151
187	0.3262683721
188	0.3259675767
189	0.3255244342
190	0.3250086572
191	0.3246726002
192	0.3243953065
193	0.3238593931
