iter	Logloss
0	0.6852499795
1	0.6782544006
2	0.6711661737
3	0.6638749917
4	0.6570380821
5	0.6500181554
6	0.6432943248
7	0.6368870983
8	0.6309678893
9	0.6249932501
10	0.6191070064
11	0.6127384672
12	0.6073969192
13	0.6008550707
14	0.595785131
15	0.590296682
16	0.5848795941
17	0.5791915261
18	0.5751018109
19	0.5711151954
20	0.5659478985
21	0.5611862525
22	0.5566303725
23	0.5522916976
24	0.5480514357
25	0.5437625938
26	0.5390645059
27	0.5348128482
28	0.531362189
29	0.5277726527
30	0.52395242
31	0.5194898217
32	0.5159295826
33	0.512588309
34	0.509360891
35	0.5059260061
36	0.5027668195
37	0.4991564831
38	0.4961501204
39	0.493195725
40	0.4898236666
41	0.487107475
42	0.4843074922
43	0.4812506058
44	0.4784768554
45	0.4757192913
46	0.4735102329
47	0.4711235986
48	0.4685357773
49	0.4662907237
50	0.4635460961
51	0.4613594509
52	0.4594372364
53	0.4572163633
54	0.4552806453
55	0.4533517792
56	0.4512191563
57	0.4490321371
58	0.4474090344
59	0.4455261081
60	0.4437013251
61	0.4413396635
62	0.4401021521
63	0.4378118249
64	0.4361051519
65	0.4340777915
66	0.4322784712
67	0.4300886172
68	0.4284815259
69	0.4270845237
70	0.4250027517
71	0.4233851879
72	0.4220403958
73	0.4206032401
74	0.4190114563
75	0.4178614531
76	0.4162685635
77	0.4148888473
78	0.413498197
79	0.4121071138
80	0.4109333533
81	0.4098912012
82	0.4086354757
83	0.4069423198
84	0.405765748
85	0.4047070758
86	0.4032731975
87	0.4021900447
88	0.4009980555
89	0.4002156763
90	0.3990938742
91	0.3979944733
92	0.3976979596
93	0.3967587639
94	0.3958181101
95	0.3948800419
96	0.3936579062
97	0.3926133236
98	0.3918991512
99	0.3909348996
100	0.3898314267
101	0.3888618291
102	0.3878436084
103	0.3868701625
104	0.3860238153
105	0.3850104862
106	0.3839469129
107	0.383023933
108	0.3819870638
109	0.3813291381
110	0.3807158993
111	0.3801430969
112	0.3791597319
113	0.3784077276
114	0.3775230036
115	0.3766497522
116	0.3757329349
117	0.3750510041
118	0.3743226105
119	0.3737582377
120	0.3730233418
121	0.3724185597
122	0.3716274854
123	0.3709666483
124	0.3702955255
125	0.3696645312
126	0.3688695829
127	0.3683868615
128	0.36792543
129	0.3674766365
130	0.3668670104
131	0.3661405744
132	0.3653767812
133	0.3646554985
134	0.3639086445
135	0.3635692126
136	0.362891125
137	0.3622960365
138	0.3615343845
139	0.3607984788
140	0.3600480551
141	0.3593387325
142	0.3587977183
143	0.3583454577
144	0.3576867736
145	0.3571214407
146	0.3564842948
147	0.3562769277
148	0.3557052393
149	0.355044633
150	0.3544678568
151	0.3539341189
152	0.3538061799
153	0.3534995439
154	0.3529136904
155	0.3524351177
156	0.3518797553
157	0.3514530283
158	0.3508042024
159	0.3502794365
160	0.349648302
161	0.3490465812
162	0.348423692
163	0.3479541268
164	0.3475216446
165	0.3470568302
166	0.3465899065
167	0.3462731906
168	0.3459734833
169	0.3454524416
170	0.3447980977
171	0.3442187632
172	0.3438102797
173	0.3432825447
174	0.3428125025
175	0.3422807268
176	0.3416150475
177	0.3411416006
178	0.3406864398
179	0.3402600688
180	0.3398313493
181	0.3393770459
182	0.3390753343
183	0.3385597792
184	0.3381027154
185	0.3378381079
186	0.337494805
187	0.3370611697
188	0.3364065534
189	0.3361299741
190	0.3359638015
191	0.3354495345
192	0.3350997134
193	0.3348072735
194	0.3341992669
195	0.333743167
196	0.333207557
197	0.3331525011
198	0.3328954986
199	0.3325275506
200	0.3322092667
201	0.3315973487
202	0.3311802861
203	0.3307609198
204	0.3302253149
205	0.3298492635
206	0.3294549549
207	0.3291418955
208	0.328871761
209	0.3283147975
210	0.328055327
211	0.3276812181
212	0.3273638541
213	0.3273305061
214	0.3269596636
215	0.3266517609
216	0.3263412334
217	0.3259798697
218	0.325709935
219	0.3251567167
220	0.3248066556
221	0.3242653004
222	0.3241262841
223	0.3239457525
224	0.3235374058
225	0.3232947229
226	0.3228993133
227	0.3224020983
228	0.322060954
229	0.3217705879
230	0.3214611413
231	0.3211495045
232	0.320776843
233	0.3205636235
234	0.3202614866
235	0.3198690551
236	0.3193704594
237	0.3189372345
238	0.3184540646
239	0.3182257733
240	0.3177807629
241	0.3174351006
242	0.3170271711
243	0.3167980197
244	0.316278744
245	0.3159441361
246	0.3157321223
247	0.3153211939
248	0.3148888617
249	0.3148662902
250	0.3144627741
251	0.3141006367
252	0.3136602567
253	0.3133151981
254	0.3128712815
255	0.3125840869
256	0.3123312101
257	0.31201372
258	0.3118137069
259	0.3115022629
260	0.311228573
261	0.3108931949
262	0.3106864569
263	0.3103362501
264	0.3100402008
265	0.3097461374
266	0.3095518256
267	0.3092070124
268	0.3088882774
269	0.3086072572
270	0.3083346348
271	0.3080546271
272	0.3077540102
273	0.3073940227
274	0.3071040064
275	0.3067944958
276	0.3065104982
277	0.3063414162
278	0.3059574656
279	0.3055667423
280	0.3055545211
281	0.3052574815
282	0.3049227769
283	0.3045343825
284	0.304360337
285	0.3041823818
286	0.3037715333
287	0.303654599
288	0.3034082129
289	0.3029996744
290	0.3027390982
291	0.3024630583
292	0.3022460656
293	0.3020168018
294	0.3015673525
295	0.3013130196
296	0.3010193115
297	0.300770878
298	0.3005693019
299	0.3002639687
300	0.3000444309
301	0.2999251458
302	0.299632954
303	0.2992714928
304	0.2991526212
305	0.2987730373
306	0.2985289445
307	0.2982889171
308	0.2980412097
309	0.297614743
310	0.2973885935
311	0.2970321165
312	0.2967773378
313	0.296429342
314	0.2958679746
315	0.2956120152
316	0.2953456871
317	0.2950365535
318	0.2947093689
319	0.294465186
320	0.2940636462
321	0.2939291841
322	0.2936209063
323	0.293373766
324	0.2929479396
325	0.2927524028
326	0.2924052356
327	0.2921030288
328	0.291876192
329	0.2916443782
330	0.2913201497
331	0.2911034298
332	0.2907857526
333	0.2904119696
334	0.2900951523
335	0.2898310181
336	0.289649415
337	0.2893460263
338	0.2893196383
339	0.289039767
340	0.2886467245
341	0.288339945
342	0.2879847122
343	0.2876619687
344	0.2873747136
345	0.2870247146
346	0.2867577713
347	0.2865022651
348	0.286271969
349	0.2860408162
350	0.2857770189
351	0.2856291447
352	0.2853727054
353	0.2850717586
354	0.2848309493
355	0.284559449
356	0.2843536051
357	0.2842011042
358	0.2840355977
359	0.2837439681
360	0.2834851442
361	0.2830708905
362	0.2828220037
363	0.2825662261
364	0.2823670208
365	0.2821619421
366	0.28214938
367	0.281703929
368	0.2814514162
369	0.2810891516
370	0.2809387219
371	0.2806136071
372	0.2803407889
373	0.2800231024
374	0.2799093159
375	0.2795555173
376	0.2793410138
377	0.2791173495
378	0.2788830514
379	0.2786717016
380	0.2784976718
381	0.2782474543
382	0.2779516347
383	0.277688338
384	0.2775396124
385	0.2774380621
386	0.277255691
387	0.2770216775
388	0.276931582
389	0.2766103803
390	0.276514209
391	0.2762539156
392	0.2759407132
393	0.275791052
394	0.2755889477
395	0.2753035545
396	0.275126014
397	0.2748130244
398	0.2748073332
399	0.2745642953
400	0.2744054072
401	0.2742307193
402	0.2739374504
403	0.2738560101
404	0.2737292132
405	0.2734812092
406	0.2732570026
407	0.2728921804
408	0.2726790365
409	0.2723453885
410	0.2721642193
411	0.2719584239
412	0.2718067208
413	0.2715575881
414	0.2713082773
415	0.2710136141
416	0.2708882808
417	0.2706115507
418	0.2704701435
419	0.2700719262
420	0.2698537165
421	0.2696883488
422	0.269584545
423	0.2692300278
424	0.2691725882
425	0.2689033646
426	0.2688079018
427	0.2686277339
428	0.2684188925
429	0.2681280338
430	0.267981166
431	0.2676935695
432	0.2674572977
433	0.2672999366
434	0.2670138594
435	0.2667570711
436	0.2663832754
437	0.2662211576
438	0.2660619528
439	0.2659479943
440	0.2657803975
441	0.26556484
442	0.2652372726
443	0.2650736347
444	0.2647618804
445	0.2645149104
446	0.2643699676
447	0.2640854071
448	0.2638682902
449	0.2637450628
450	0.2635918708
451	0.2633230992
452	0.2631355489
453	0.2629021283
454	0.2627194543
455	0.262476258
456	0.2622796348
457	0.261933092
458	0.2616276265
459	0.2613683526
460	0.2611179462
461	0.2608707181
462	0.2607072895
463	0.2604635529
464	0.2601190629
465	0.259858343
466	0.2595808672
467	0.2592965965
468	0.2590491673
469	0.258876274
470	0.2585805522
471	0.258456749
472	0.2583419048
